                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.52157,                0.51644,                 1.0815,                0.89966,                0.87741,                0.95307,                0.76975,                0.85646,                0.56739,                 1.4725,             0.00017476,             0.00017476,             0.00017476
                     99,                0.53808,                0.54332,                 1.1032,                0.92134,                0.86828,                0.95016,                 0.7739,                0.84323,                 0.6016,                 1.4621,             0.00017311,             0.00017311,             0.00017311
                    100,                0.51768,                0.52384,                 1.0906,                0.95307,                0.87214,                 0.9447,                0.76159,                0.84193,                0.53746,                  1.453,             0.00017146,             0.00017146,             0.00017146
                    101,                0.51795,                0.52908,                  1.091,                0.95575,                0.87029,                0.95176,                0.76735,                0.83685,                0.52411,                 1.4649,             0.00016981,             0.00016981,             0.00016981
                    102,                0.52372,                0.51634,                 1.0851,                0.94456,                 0.8743,                0.95598,                0.76671,                0.88052,                 0.5588,                 1.5182,             0.00016817,             0.00016817,             0.00016817
                    103,                0.53212,                0.52666,                 1.0952,                0.95279,                 0.8527,                0.95299,                0.75343,                0.90494,                0.57257,                 1.5699,             0.00016652,             0.00016652,             0.00016652
                    104,                0.52868,                0.51246,                 1.0986,                0.93563,                0.87643,                0.95609,                0.76517,                0.87888,                0.52903,                 1.5218,             0.00016487,             0.00016487,             0.00016487
                    105,                0.52315,                0.52127,                 1.0937,                0.94531,                0.87194,                0.95287,                0.75231,                0.89554,                0.57058,                 1.5482,             0.00016322,             0.00016322,             0.00016322
                    106,                0.50979,                0.49139,                  1.083,                0.93281,                0.85179,                0.95368,                0.76142,                0.89298,                0.58445,                 1.5472,             0.00016157,             0.00016157,             0.00016157
                    107,                0.51424,                0.49094,                 1.0851,                0.93591,                0.86204,                0.95418,                0.77251,                 0.8313,                0.52412,                 1.4691,             0.00015992,             0.00015992,             0.00015992
                    108,                0.51322,                0.49635,                 1.0783,                0.87641,                0.91351,                0.95618,                0.77522,                0.86018,                0.53637,                 1.4927,             0.00015827,             0.00015827,             0.00015827
                    109,                0.51413,                0.49553,                 1.0858,                0.89976,                0.89595,                0.95359,                0.75682,                0.90328,                0.53308,                 1.5394,             0.00015663,             0.00015663,             0.00015663
                    110,                0.51034,                0.46972,                 1.0754,                0.92439,                0.87486,                0.95915,                0.77475,                0.87623,                0.54135,                 1.5107,             0.00015498,             0.00015498,             0.00015498
